"spkid","full_name","diameter","extent","rot_per","orbit_id","epoch","e","a","q","i","w","ad","per","per_y","sigma_e","sigma_a","sigma_q","sigma_i","sigma_per","first_obs","last_obs"
54014295,"       (2010 XR70)",,,,"JPL 13",2459600.5,0.0704,5.112,4.752,18.75,306.65,5.47,4.22e+03,11.6,1.2e-07,2.6e-07,7.2e-07,1.2e-05,3.2e-04,2004-04-14,2021-11-30
3598094,"       (2010 XJ74)",,,,"JPL 15",2459600.5,0.1311,5.255,4.567,19.29,17.52,5.94,4.4e+03,12,1.3e-07,3.6e-07,9.8e-07,1.1e-05,4.5e-04,1999-03-09,2021-11-01
3570533,"       (2010 XX83)",,,,"JPL 24",2459600.5,0.1557,5.21,4.399,27.35,189.00,6.02,4.34e+03,11.9,1.1e-07,2.3e-07,7.4e-07,8.1e-06,2.9e-04,2009-09-26,2022-01-05
3778301,"       (2010 XO91)",,,,"JPL 4",2459600.5,0.0255,5.188,5.056,37.47,49.38,5.32,4.32e+03,11.8,3.3e-07,9.6e-07,2.6e-06,2.6e-05,1.2e-03,2010-12-09,2021-11-08
3778302,"       (2010 XP91)",,,,"JPL 8",2459600.5,0.1556,5.207,4.397,4.02,266.61,6.02,4.34e+03,11.9,9.7e-08,4.9e-07,7.2e-07,1.0e-05,6.2e-04,2010-11-11,2021-11-11
3778303,"       (2010 XQ91)",,,,"JPL 13",2459600.5,0.0911,5.241,4.763,8.15,68.03,5.72,4.38e+03,12,1.5e-07,3.5e-07,1.0e-06,1.4e-05,4.4e-04,2002-03-05,2021-11-27
3999073,"       (2010 XD106)",,,,"JPL 8",2459600.5,0.0056,5.191,5.162,8.93,232.10,5.22,4.32e+03,11.8,1.2e-07,4.9e-07,6.1e-07,8.0e-06,6.2e-04,2010-12-02,2021-11-06
3999102,"       (2010 XU106)",,,,"JPL 8",2459600.5,0.0919,5.279,4.794,8.24,290.40,5.76,4.43e+03,12.1,4.1e-07,5.8e-07,2.6e-06,1.3e-05,7.3e-04,2010-12-02,2021-12-02
54066385,"       (2010 XY111)",,,,"JPL 6",2459600.5,0.0720,5.19,4.817,11.64,345.40,5.56,4.32e+03,11.8,1.2e-07,3.0e-07,8.1e-07,7.1e-06,3.8e-04,2009-09-27,2021-11-26
54096159,"       (2010 XR113)",,,,"JPL 5",2459600.5,0.1162,5.067,4.479,2.98,233.64,5.66,4.17e+03,11.4,1.8e-07,2.2e-07,9.9e-07,1.2e-05,2.8e-04,2002-02-06,2021-11-30
54102911,"       (2010 XV114)",,,,"JPL 4",2459600.5,0.0859,5.172,4.728,7.45,263.53,5.62,4.3e+03,11.8,1.8e-07,3.7e-07,1.1e-06,1.3e-05,4.6e-04,2010-12-04,2021-11-09
