            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2383656.500000000, A.D. 1814-Feb-17 00:00:00.0000,  6.713437451226504E+07,  7.511494894724543E+08,  1.912759011624133E+08,  2.12860650E+02,  5.42154320E+01,  7.73068965E+01,
2383716.500000000, A.D. 1814-Apr-18 00:00:00.0000, -4.213749621144251E+04,  7.521985907086034E+08,  1.963122335827360E+08,  2.17322068E+02,  6.60261284E+01,  8.08526764E+01,
2383776.500000000, A.D. 1814-Jun-17 00:00:00.0000, -6.721638637977146E+07,  7.475314987970573E+08,  1.998573414553166E+08,  2.20185131E+02,  8.02877995E+01,  8.45570694E+01,
2383836.500000000, A.D. 1814-Aug-16 00:00:00.0000, -1.338762174081578E+08,  7.371687300161004E+08,  2.018802887288265E+08,  2.21330075E+02,  9.61599084E+01,  8.83361084E+01,
2383896.500000000, A.D. 1814-Oct-15 00:00:00.0000, -1.995104774310297E+08,  7.211732617132084E+08,  2.023612843908538E+08,  2.20657231E+02,  1.13067203E+02,  9.21140923E+01,
2383956.500000000, A.D. 1814-Dec-14 00:00:00.0000, -2.636126507204639E+08,  6.996505732152371E+08,  2.012919506560861E+08,  2.18090365E+02,  1.30585892E+02,  9.58228557E+01,
2384016.500000000, A.D. 1815-Feb-12 00:00:00.0000, -3.256845544936152E+08,  6.727484076469938E+08,  1.986755225712998E+08,  2.13579905E+02,  1.48372154E+02,  9.94007625E+01,
2384076.500000000, A.D. 1815-Apr-13 00:00:00.0000, -3.852400804570048E+08,  6.406562507764275E+08,  1.945269760179949E+08,  2.07106116E+02,  1.66124579E+02,  1.02791715E+02,
2384136.500000000, A.D. 1815-Jun-12 00:00:00.0000, -4.418089451697313E+08,  6.036045013821521E+08,  1.888730775373212E+08,  1.98682378E+02,  1.83565744E+02,  1.05944337E+02,
2384196.500000000, A.D. 1815-Aug-11 00:00:00.0000, -4.949404405312768E+08,  5.618633188639315E+08,  1.817523491680753E+08,  1.88358893E+02,  2.00433883E+02,  1.08811402E+02,
2384256.500000000, A.D. 1815-Oct-10 00:00:00.0000, -5.442071486070728E+08,  5.157411489571622E+08,  1.732149467179621E+08,  1.76227502E+02,  2.16479922E+02,  1.11349541E+02,
2384316.500000000, A.D. 1815-Dec-09 00:00:00.0000, -5.892085890005093E+08,  4.655829131054701E+08,  1.633224459510230E+08,  1.62428932E+02,  2.31467391E+02,  1.13519210E+02,
2384376.500000000, A.D. 1816-Feb-07 00:00:00.0000, -6.295747579612629E+08,  4.117678518280702E+08,  1.521475314155461E+08,  1.47165151E+02,  2.45173900E+02,  1.15284910E+02,
2384436.500000000, A.D. 1816-Apr-07 00:00:00.0000, -6.649695350133849E+08,  3.547070238639302E+08,  1.397735847759214E+08,  1.30722553E+02,  2.57393424E+02,  1.16615609E+02,
2384496.500000000, A.D. 1816-Jun-06 00:00:00.0000, -6.950939083520807E+08,  2.948404716293457E+08,  1.262941743988787E+08,  1.13518567E+02,  2.67938953E+02,  1.17485364E+02,
2384556.500000000, A.D. 1816-Aug-05 00:00:00.0000, -7.196889721585922E+08,  2.326340496409080E+08,  1.118124410825517E+08,  9.62001120E+01,  2.76645195E+02,  1.17874066E+02,
